country,brand_name,month,months_postgx,volume
COUNTRY_B6AE,BRAND_1C1E,Jul,-24,272594.39214363444
COUNTRY_B6AE,BRAND_1C1E,Aug,-23,351859.31030592526
COUNTRY_B6AE,BRAND_1C1E,Sep,-22,447953.4812752315
COUNTRY_B6AE,BRAND_1C1E,Oct,-21,411543.2923598504
COUNTRY_B6AE,BRAND_1C1E,Nov,-20,774594.4542361738
COUNTRY_B6AE,BRAND_1C1E,Dec,-19,442279.1780362012
COUNTRY_B6AE,BRAND_1C1E,Jan,-18,485069.4858336451
COUNTRY_B6AE,BRAND_1C1E,Feb,-17,549902.6994992384
COUNTRY_B6AE,BRAND_1C1E,Mar,-16,751044.237822728
COUNTRY_B6AE,BRAND_1C1E,Apr,-15,181852.13103682228
COUNTRY_B6AE,BRAND_1C1E,May,-14,388137.9462780911
COUNTRY_B6AE,BRAND_1C1E,Jun,-13,774714.0052833514
COUNTRY_B6AE,BRAND_1C1E,Jul,-12,448395.4455242908
COUNTRY_B6AE,BRAND_1C1E,Aug,-11,323519.75663878146
COUNTRY_B6AE,BRAND_1C1E,Sep,-10,503434.7633803511
COUNTRY_B6AE,BRAND_1C1E,Oct,-9,512527.6864641048
COUNTRY_B6AE,BRAND_1C1E,Nov,-8,644280.2248487392
COUNTRY_B6AE,BRAND_1C1E,Dec,-7,801599.5445082814
COUNTRY_B6AE,BRAND_1C1E,Jan,-6,272798.2191752177
COUNTRY_B6AE,BRAND_1C1E,Feb,-5,691485.5174137065
COUNTRY_B6AE,BRAND_1C1E,Mar,-4,809676.1140662307
COUNTRY_B6AE,BRAND_1C1E,Apr,-3,280916.7591997881
COUNTRY_B6AE,BRAND_1C1E,May,-2,203449.40085974935
COUNTRY_B6AE,BRAND_1C1E,Jun,-1,805720.6163503862
COUNTRY_B6AE,BRAND_1C1E,Jul,0,231316.78045788733
COUNTRY_B6AE,BRAND_1C1E,Aug,1,497548.3437378738
COUNTRY_B6AE,BRAND_1C1E,Sep,2,538758.6227749948
COUNTRY_B6AE,BRAND_1C1E,Oct,3,282371.90761619335
COUNTRY_B6AE,BRAND_1C1E,Nov,4,402291.60272645584
COUNTRY_B6AE,BRAND_1C1E,Dec,5,720280.3167283705
COUNTRY_B6AE,BRAND_1C1E,Jan,6,213205.9981592212
COUNTRY_B6AE,BRAND_1C1E,Feb,7,414238.5170059687
COUNTRY_B6AE,BRAND_1C1E,Mar,8,667787.6857157251
COUNTRY_B6AE,BRAND_1C1E,Apr,9,154236.72977848837
COUNTRY_B6AE,BRAND_1C1E,May,10,266035.6935968953
COUNTRY_B6AE,BRAND_1C1E,Jun,11,861270.1496774136
COUNTRY_B6AE,BRAND_1C1E,Jul,12,216409.2396899176
COUNTRY_B6AE,BRAND_1C1E,Aug,13,337311.33299878804
COUNTRY_B6AE,BRAND_1C1E,Sep,14,355482.38068210246
COUNTRY_B6AE,BRAND_1C1E,Oct,15,316226.17066482943
COUNTRY_B6AE,BRAND_1C1E,Nov,16,385486.5146108468
COUNTRY_B6AE,BRAND_1C1E,Dec,17,729687.3631447988
COUNTRY_B6AE,BRAND_1C1E,Jan,18,111454.61166859124
COUNTRY_B6AE,BRAND_1C1E,Feb,19,126277.937664025
COUNTRY_B6AE,BRAND_1C1E,Mar,20,298382.8290202355
COUNTRY_B6AE,BRAND_1C1E,Apr,21,223803.85632134377
COUNTRY_B6AE,BRAND_1C1E,May,22,368962.22692331945
COUNTRY_B6AE,BRAND_1C1E,Jun,23,569995.5856788409
COUNTRY_B6AE,BRAND_E7C2,Mar,-24,73556.05381052269
COUNTRY_B6AE,BRAND_E7C2,Apr,-23,36526.95547275312
COUNTRY_B6AE,BRAND_E7C2,May,-22,37547.80553124484
COUNTRY_B6AE,BRAND_E7C2,Jun,-21,53476.94291487608
COUNTRY_B6AE,BRAND_E7C2,Jul,-20,59052.54836591369
COUNTRY_B6AE,BRAND_E7C2,Aug,-19,53649.389099697095
COUNTRY_B6AE,BRAND_E7C2,Sep,-18,59909.37281941979
COUNTRY_B6AE,BRAND_E7C2,Oct,-17,65938.69111901497
COUNTRY_B6AE,BRAND_E7C2,Nov,-16,63880.50396597404
COUNTRY_B6AE,BRAND_E7C2,Dec,-15,73316.76950792657
COUNTRY_B6AE,BRAND_E7C2,Jan,-14,92927.61829866904
COUNTRY_B6AE,BRAND_E7C2,Feb,-13,67691.44588520832
COUNTRY_B6AE,BRAND_E7C2,Mar,-12,55599.011916201576
COUNTRY_B6AE,BRAND_E7C2,Apr,-11,50621.33334791423
COUNTRY_B6AE,BRAND_E7C2,May,-10,28355.392095174942
COUNTRY_B6AE,BRAND_E7C2,Jun,-9,55099.482721412925
COUNTRY_B6AE,BRAND_E7C2,Jul,-8,72262.52547305968
COUNTRY_B6AE,BRAND_E7C2,Aug,-7,75593.30394765454
COUNTRY_B6AE,BRAND_E7C2,Sep,-6,78844.2844964052
COUNTRY_B6AE,BRAND_E7C2,Oct,-5,74670.19223317188
COUNTRY_B6AE,BRAND_E7C2,Nov,-4,79409.2204515746
COUNTRY_B6AE,BRAND_E7C2,Dec,-3,84148.09662318845
COUNTRY_B6AE,BRAND_E7C2,Jan,-2,62998.076990842594
COUNTRY_B6AE,BRAND_E7C2,Feb,-1,45702.90006641069
COUNTRY_B6AE,BRAND_E7C2,Mar,0,43064.12153689113
COUNTRY_B6AE,BRAND_E7C2,Apr,1,30505.64318677956
COUNTRY_B6AE,BRAND_E7C2,May,2,89720.84999999999
COUNTRY_B6AE,BRAND_E7C2,Jun,3,44555.56192558576
COUNTRY_B6AE,BRAND_E7C2,Jul,4,49412.87541469968
COUNTRY_B6AE,BRAND_E7C2,Aug,5,69046.6070284388
COUNTRY_B6AE,BRAND_E7C2,Sep,6,77384.75755323863
COUNTRY_B6AE,BRAND_E7C2,Oct,7,33936.1465397818
COUNTRY_B6AE,BRAND_E7C2,Nov,8,54777.27744806136
COUNTRY_B6AE,BRAND_E7C2,Dec,9,55750.35932792065
COUNTRY_B6AE,BRAND_E7C2,Jan,10,51848.53488186365
COUNTRY_B6AE,BRAND_E7C2,Feb,11,47586.57953108623
COUNTRY_B6AE,BRAND_E7C2,Mar,12,22811.08534646637
COUNTRY_B6AE,BRAND_E7C2,Apr,13,21418.879692100098
COUNTRY_B6AE,BRAND_E7C2,May,14,22996.45052048132
COUNTRY_B6AE,BRAND_E7C2,Jun,15,37457.67630087532
COUNTRY_B6AE,BRAND_E7C2,Jul,16,34319.48415623866
COUNTRY_B6AE,BRAND_E7C2,Aug,17,31029.28991881287
COUNTRY_B6AE,BRAND_E7C2,Sep,18,70874.33949216465
COUNTRY_B6AE,BRAND_E7C2,Oct,19,31347.755414977342
COUNTRY_B6AE,BRAND_E7C2,Nov,20,46239.5022800668
COUNTRY_B6AE,BRAND_E7C2,Dec,21,44283.88264306516
COUNTRY_B6AE,BRAND_E7C2,Jan,22,34836.64597054447
COUNTRY_B6AE,BRAND_E7C2,Feb,23,35477.25838381231
COUNTRY_B6AE,BRAND_9065,Oct,-24,54108.56619406607
COUNTRY_B6AE,BRAND_9065,Nov,-23,33081.8265801488
COUNTRY_B6AE,BRAND_9065,Dec,-22,25562.613999035624
COUNTRY_B6AE,BRAND_9065,Jan,-21,37921.24460436814
COUNTRY_B6AE,BRAND_9065,Feb,-20,30724.91954272732
COUNTRY_B6AE,BRAND_9065,Mar,-19,33852.78337361581
COUNTRY_B6AE,BRAND_9065,Apr,-18,34084.76075585603
COUNTRY_B6AE,BRAND_9065,May,-17,36396.475276229845
COUNTRY_B6AE,BRAND_9065,Jun,-16,30441.4866873144
COUNTRY_B6AE,BRAND_9065,Jul,-15,39315.15966831534
COUNTRY_B6AE,BRAND_9065,Aug,-14,29575.125963690007
COUNTRY_B6AE,BRAND_9065,Sep,-13,25890.082151421237
COUNTRY_B6AE,BRAND_9065,Oct,-12,51081.774217130616
